item,actor,gold_id,gold_name,gold_checkable,name_leak,claimed_id,attribution_correct,model_says_provable,n_cited,arm4_grounding_pass,arm5_capacity_pass,arm5_outcome,capacity_violation,missed_by_grounding,missing,condition,model
P037,Maroochy Water Breach,T0879,Damage to Property,False,False,T0836,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P038,Maroochy Water Breach,T0836,Modify Parameter,True,False,T0836,True,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P039,Maroochy Water Breach,T0813,Denial of Control,False,False,T0830,False,False,0,True,False,fail,False,False,Application Log Content; Process Creation; Service Creation; Windows Registry Key Modification,instrumented,gemma-4-26b-moe
P040,Maroochy Water Breach,T0860,Wireless Compromise,True,False,,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P041,Maroochy Water Breach,T0848,Rogue Master,True,False,T0859,False,True,2,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P042,Maroochy Water Breach,T0878,Alarm Suppression,True,False,T0830,False,True,3,True,False,fail,True,True,Application Log Content; Process Creation; Service Creation; Windows Registry Key Modification,instrumented,gemma-4-26b-moe
P043,Maroochy Water Breach,T0815,Denial of View,False,False,T0830,False,True,2,True,False,fail,True,True,Application Log Content; Process Creation; Service Creation; Windows Registry Key Modification,instrumented,gemma-4-26b-moe
P044,Unitronics Defacement Campaign,T0826,Loss of Availability,False,False,T0813,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P045,Unitronics Defacement Campaign,T0814,Denial of Service,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P046,Unitronics Defacement Campaign,T0829,Loss of View,False,False,T0831,False,True,1,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P047,Unitronics Defacement Campaign,T0883,Internet Accessible Device,True,False,T0813,False,False,0,True,False,undefined,False,False,,instrumented,gemma-4-26b-moe
P048,Unitronics Defacement Campaign,T1694.001,Default Credentials,True,True,T0812,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P049,Unitronics Defacement Campaign,T0828,Loss of Productivity and Revenue,False,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P050,2025 Poland Wiper Attacks,T0892,Change Credential,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P051,2025 Poland Wiper Attacks,T0829,Loss of View,False,True,T0814,False,True,3,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P052,2025 Poland Wiper Attacks,T0816,Device Restart/Shutdown,True,False,T0839,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P053,2025 Poland Wiper Attacks,T0846.001,Port Scan,True,True,T0846,False,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P054,2025 Poland Wiper Attacks,T0840,Network Connection Enumeration,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P055,2025 Poland Wiper Attacks,T0885,Commonly Used Port,True,False,T0883,False,True,1,True,False,fail,True,True,Logon Session Metadata,instrumented,gemma-4-26b-moe
P056,2025 Poland Wiper Attacks,T0852,Screen Capture,True,True,T0827,False,True,1,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P057,2025 Poland Wiper Attacks,T0809,Data Destruction,True,False,T0809,True,False,0,True,False,fail,False,False,Command Execution; File Deletion; File Modification; Process Creation,instrumented,gemma-4-26b-moe
P058,2025 Poland Wiper Attacks,T1693.001,System Firmware,True,True,T0839,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P059,2025 Poland Wiper Attacks,T0807,Command-Line Interface,True,False,T0857,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P060,2025 Poland Wiper Attacks,T0859,Valid Accounts,True,True,T0859,True,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P061,2025 Poland Wiper Attacks,T1694.001,Default Credentials,True,True,T0812,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P062,2025 Poland Wiper Attacks,T0827,Loss of Control,False,True,T0814,False,True,3,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P063,2025 Poland Wiper Attacks,T0823,Graphical User Interface,True,True,T0822,False,True,1,True,False,fail,True,True,Application Log Content; Logon Session Metadata,instrumented,gemma-4-26b-moe
P064,2025 Poland Wiper Attacks,T0846.002,Broadcast Discovery,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P065,2025 Poland Wiper Attacks,T0846,Remote System Discovery,True,True,T0846,True,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P066,2025 Poland Wiper Attacks,T0822,External Remote Services,True,False,T0822,True,True,2,True,False,fail,True,True,Application Log Content; Logon Session Metadata,instrumented,gemma-4-26b-moe
P067,2025 Poland Wiper Attacks,T0886,Remote Services,True,True,T0822,False,True,2,True,False,fail,True,True,Application Log Content; Logon Session Metadata,instrumented,gemma-4-26b-moe
P068,2025 Poland Wiper Attacks,T0888,Remote System Information Discovery,True,False,T0888,True,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P069,2016 Ukraine Electric Power Attack,T0867,Lateral Tool Transfer,True,True,T0832,False,True,1,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P070,2016 Ukraine Electric Power Attack,T0886,Remote Services,True,False,T0883,False,True,2,True,False,fail,True,True,Logon Session Metadata,instrumented,gemma-4-26b-moe
P071,2016 Ukraine Electric Power Attack,T0853,Scripting,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P072,2016 Ukraine Electric Power Attack,T0859,Valid Accounts,True,True,T0866,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P073,2016 Ukraine Electric Power Attack,T0807,Command-Line Interface,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P074,2016 Ukraine Electric Power Attack,T0849,Masquerading,True,False,T0839,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P075,2022 Ukraine Electric Power Attack,T0853,Scripting,True,False,T0853,True,True,1,True,False,fail,True,True,Command Execution; Module Load; Process Creation; Process Metadata; Script Execution,instrumented,gemma-4-26b-moe
P076,2022 Ukraine Electric Power Attack,T0894,System Binary Proxy Execution,True,False,T0855,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P077,2022 Ukraine Electric Power Attack,T0895,Autorun Image,True,True,T0847,False,True,1,True,False,fail,True,True,Drive Creation; File Access; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P078,2022 Ukraine Electric Power Attack,T0807,Command-Line Interface,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P079,ALLANITE,T0859,Valid Accounts,True,False,T0859,True,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P080,ALLANITE,T0852,Screen Capture,True,False,T0811,False,False,0,True,False,fail,False,False,Application Log Content; Logon Session Creation; Network Share Access,instrumented,gemma-4-26b-moe
P081,ALLANITE,T0865,Spearphishing Attachment,True,False,T0865,True,False,0,True,False,fail,False,False,Application Log Content; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P082,ALLANITE,T0817,Drive-by Compromise,True,False,T0865,False,False,0,True,False,fail,False,False,Application Log Content; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P083,Dragonfly,T0817,Drive-by Compromise,True,False,T0865,False,True,2,True,False,fail,True,True,Application Log Content; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P084,Dragonfly,T0862,Supply Chain Compromise,True,False,T0857,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P085,Sandworm Team,T0807,Command-Line Interface,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P086,Sandworm Team,T0819,Exploit Public-Facing Application,True,False,T0866,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P087,Sandworm Team,T0884,Connection Proxy,True,False,T0883,False,True,2,True,False,fail,True,True,Logon Session Metadata,instrumented,gemma-4-26b-moe
P088,OilRig,T0865,Spearphishing Attachment,True,True,T0865,True,False,0,True,False,fail,False,False,Application Log Content; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P089,OilRig,T0853,Scripting,True,False,T0865,False,True,2,True,False,fail,True,True,Application Log Content; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P090,OilRig,T0869,Standard Application Layer Protocol,True,False,T0869,True,True,1,True,True,pass,False,False,,instrumented,gemma-4-26b-moe
P091,OilRig,T0859,Valid Accounts,True,False,T0859,True,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P092,OilRig,T0817,Drive-by Compromise,True,False,T0865,False,False,0,True,False,fail,False,False,Application Log Content; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P093,TEMP.Veles,T0862,Supply Chain Compromise,True,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata,instrumented,gemma-4-26b-moe
P094,TEMP.Veles,T0817,Drive-by Compromise,True,False,T0865,False,False,0,True,False,fail,False,False,Application Log Content; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P095,Lazarus Group,T0865,Spearphishing Attachment,True,False,T0865,True,False,0,True,False,fail,False,False,Application Log Content; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P096,APT33,T0852,Screen Capture,True,True,,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P097,APT33,T0865,Spearphishing Attachment,True,False,T0865,True,False,0,True,False,fail,False,False,Application Log Content; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P098,APT33,T0853,Scripting,True,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata,instrumented,gemma-4-26b-moe
P099,EKANS,T0881,Service Stop,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P100,EKANS,T0840,Network Connection Enumeration,True,False,T0846,False,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P101,EKANS,T0828,Loss of Productivity and Revenue,False,False,T0814,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P102,EKANS,T0849,Masquerading,True,False,T0853,False,True,1,True,False,fail,True,True,Command Execution; Module Load; Process Creation; Process Metadata; Script Execution,instrumented,gemma-4-26b-moe
P103,Backdoor.Oldrea,T0888,Remote System Information Discovery,True,False,T0846,False,False,0,True,False,fail,False,False,File Access; Process Creation,instrumented,gemma-4-26b-moe
P104,Backdoor.Oldrea,T0846,Remote System Discovery,True,False,T0846,True,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P105,Backdoor.Oldrea,T0863,User Execution,True,True,,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P106,Backdoor.Oldrea,T0862,Supply Chain Compromise,True,False,T0866,False,False,0,True,False,fail,False,False,Application Log Content,instrumented,gemma-4-26b-moe
P107,Backdoor.Oldrea,T0802,Automated Collection,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P108,Backdoor.Oldrea,T0861,Point & Tag Identification,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P109,Backdoor.Oldrea,T0814,Denial of Service,True,True,T0814,True,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P110,Backdoor.Oldrea,T0865,Spearphishing Attachment,True,False,T0866,False,False,0,True,False,fail,False,False,Application Log Content,instrumented,gemma-4-26b-moe
P111,Stuxnet,T0849,Masquerading,True,False,T0833,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P112,Stuxnet,T0888,Remote System Information Discovery,True,False,,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P113,Stuxnet,T1694.002,Hardcoded Credentials,True,False,T0812,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P114,Stuxnet,T0877,I/O Image,True,True,T0830,False,False,0,True,False,fail,False,False,Application Log Content; Process Creation; Service Creation; Windows Registry Key Modification,instrumented,gemma-4-26b-moe
P115,Stuxnet,T0801,Monitor Process State,True,False,T0836,False,False,0,True,False,fail,False,False,Application Log Content,instrumented,gemma-4-26b-moe
P116,Stuxnet,T0867,Lateral Tool Transfer,True,False,,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P117,Stuxnet,T0834,Native API,True,False,T0831,False,False,0,True,False,undefined,False,False,,instrumented,gemma-4-26b-moe
P118,Stuxnet,T0836,Modify Parameter,True,False,T0836,True,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P119,Stuxnet,T0874,Hooking,True,False,T0839,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P120,Stuxnet,T0807,Command-Line Interface,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P121,Stuxnet,T0843,Program Download,True,False,T0833,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P122,Stuxnet,T0847,Replication Through Removable Media,True,False,T0847,True,False,0,True,False,fail,False,False,Drive Creation; File Access; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P123,Stuxnet,T0863,User Execution,True,False,T0843,False,False,0,True,False,fail,False,False,Application Log Content,instrumented,gemma-4-26b-moe
P124,Stuxnet,T0873.001,Siemens Project File Format,True,False,T0843,False,False,0,True,False,fail,False,False,Application Log Content,instrumented,gemma-4-26b-moe
P125,Stuxnet,T0869,Standard Application Layer Protocol,True,False,T0831,False,True,1,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P126,Stuxnet,T0885,Commonly Used Port,True,False,T0869,False,True,2,True,True,pass,False,False,,instrumented,gemma-4-26b-moe
P127,Stuxnet,T0866,Exploitation of Remote Services,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P128,Stuxnet,T0831,Manipulation of Control,False,False,T0833,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P129,Stuxnet,T0889,Modify Program,True,False,T0833,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P130,Stuxnet,T0821,Modify Controller Tasking,True,False,T0833,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P131,Stuxnet,T0832,Manipulation of View,False,True,T0830,False,True,2,True,False,fail,True,True,Application Log Content; Process Creation; Service Creation; Windows Registry Key Modification,instrumented,gemma-4-26b-moe
P132,Stuxnet,T0886,Remote Services,True,True,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P133,Stuxnet,T0835,Manipulate I/O Image,True,False,T0830,False,True,1,True,False,fail,True,True,Application Log Content; Process Creation; Service Creation; Windows Registry Key Modification,instrumented,gemma-4-26b-moe
P134,Stuxnet,T0851,Rootkit,True,True,T0839,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P135,Stuxnet,T0842,Network Sniffing,True,False,T0833,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P136,Bad Rabbit,T0866,Exploitation of Remote Services,True,False,T0866,True,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P137,Bad Rabbit,T0817,Drive-by Compromise,True,True,T0866,False,True,3,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P138,Bad Rabbit,T0828,Loss of Productivity and Revenue,False,False,T0812,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P139,Bad Rabbit,T0863,User Execution,True,False,T0816,False,True,1,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P140,Bad Rabbit,T0867,Lateral Tool Transfer,True,False,T0866,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P141,PLC-Blaster,T0821,Modify Controller Tasking,True,False,T0833,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P142,PLC-Blaster,T0834,Native API,True,False,T0883,False,True,2,True,False,fail,True,True,Logon Session Metadata,instrumented,gemma-4-26b-moe
P143,PLC-Blaster,T0843,Program Download,True,False,T0833,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P144,PLC-Blaster,T0814,Denial of Service,True,False,T0816,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P145,PLC-Blaster,T0835,Manipulate I/O Image,True,True,T0836,False,True,1,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P146,PLC-Blaster,T0889,Modify Program,True,False,T0833,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P147,PLC-Blaster,T0858,Change Operating Mode,True,False,T0833,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P148,PLC-Blaster,T0846.001,Port Scan,True,True,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P149,BlackEnergy,T0869,Standard Application Layer Protocol,True,False,T0869,True,True,1,True,True,pass,False,False,,instrumented,gemma-4-26b-moe
P150,BlackEnergy,T0865,Spearphishing Attachment,True,True,T0865,True,False,0,True,False,fail,False,False,Application Log Content; File Creation; Process Creation,instrumented,gemma-4-26b-moe
P151,BlackEnergy,T0859,Valid Accounts,True,True,T0859,True,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P152,NotPetya,T0867,Lateral Tool Transfer,True,False,T0866,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P153,NotPetya,T0866,Exploitation of Remote Services,True,False,T0866,True,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P154,NotPetya,T0828,Loss of Productivity and Revenue,False,False,T0814,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P155,Conficker,T0828,Loss of Productivity and Revenue,False,False,T0810,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P156,Conficker,T0847,Replication Through Removable Media,True,False,T0866,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P157,Conficker,T0826,Loss of Availability,False,False,T0810,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P158,LockerGoga,T0828,Loss of Productivity and Revenue,False,False,T0814,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P159,LockerGoga,T1695.002,Ethernet,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P160,LockerGoga,T0829,Loss of View,False,True,T0829,True,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P161,LockerGoga,T1695.003,Wi-Fi,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P162,LockerGoga,T0827,Loss of Control,False,True,T0829,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P163,VPNFilter,T0830,Adversary-in-the-Middle,True,False,T0830,True,True,3,True,False,fail,True,True,Application Log Content; Process Creation; Service Creation; Windows Registry Key Modification,instrumented,gemma-4-26b-moe
P164,VPNFilter,T0842,Network Sniffing,True,False,T0830,False,True,1,True,False,fail,True,True,Application Log Content; Process Creation; Service Creation; Windows Registry Key Modification,instrumented,gemma-4-26b-moe
P165,Industroyer2,T0806,Brute Force I/O,True,False,T0836,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P166,Industroyer2,T0881,Service Stop,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P167,Industroyer2,T0836,Modify Parameter,True,False,T0836,True,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P168,Industroyer2,T0888,Remote System Information Discovery,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P169,Industroyer2,T0802,Automated Collection,True,False,T0846,False,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P170,Industroyer2,T0801,Monitor Process State,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P171,WannaCry,T0866,Exploitation of Remote Services,True,False,T0866,True,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P172,WannaCry,T0867,Lateral Tool Transfer,True,False,T0866,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P173,Triton,T0834,Native API,True,False,T0831,False,True,1,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
